sim,rho,customer_no,servers,mean_waiting_time
0,0.5,100,1,1.24258452612223
0,0.5,100,1,1.0622019126853632
0,0.5,100,1,1.3327103931024822
0,0.5,100,1,0.7895074263456442
0,0.5,100,1,1.0695336242506543
0,0.5,100,1,0.6229495885970847
0,0.5,100,1,0.9765512686284589
0,0.5,100,1,0.46488575220945755
0,0.5,100,1,0.41278501732255096
0,0.5,100,1,1.0183179829075193
0,0.5,100,1,0.6180761979620669
0,0.5,100,1,0.8404437402668168
0,0.5,100,1,0.3731549293770765
0,0.5,100,1,0.9459496263663061
0,0.5,100,1,0.9255116197894969
0,0.5,100,1,1.0922368686672277
0,0.5,100,1,0.7294812622269035
0,0.5,100,1,0.5115669671422732
0,0.5,100,1,1.6153057641005335
0,0.5,100,1,0.8017879515275657
0,0.5,100,1,2.2071992159318494
0,0.5,100,1,0.5630544066988888
0,0.5,100,1,0.5941594516544092
0,0.5,100,1,0.7998654741910051
0,0.5,100,1,0.9179439471983387
0,0.5,100,1,0.49043213288584214
0,0.5,100,1,1.059077954772097
0,0.5,100,1,1.0321727501102076
0,0.5,100,1,0.779291921706475
0,0.5,100,1,0.7163980107072243
0,0.5,100,1,0.6435108293400239
0,0.5,100,1,0.4405892078303738
0,0.5,100,1,1.4791344474989265
0,0.5,100,1,1.3966525143881188
0,0.5,100,1,0.8125369135024788
0,0.5,100,1,1.2112411449019695
0,0.5,100,1,0.7153166996742882
0,0.5,100,1,0.7593033510295052
0,0.5,100,1,0.8458877233941705
0,0.5,100,1,0.7624810111531766
0,0.5,100,1,0.8783105793918616
0,0.5,100,1,0.6173690675819546
0,0.5,100,1,0.8394076571210458
0,0.5,100,1,1.3148540611426822
0,0.5,100,1,1.2161786326556934
0,0.5,100,1,0.7117158259799661
0,0.5,100,1,0.7035485960351047
0,0.5,100,1,0.7367247874062433
0,0.5,100,1,0.7844981784552713
0,0.5,100,1,0.7725708397507293
0,0.5,500,1,0.7170946513236227
0,0.5,500,1,0.9496672754584456
0,0.5,500,1,0.7056855327806549
0,0.5,500,1,1.014356791084878
0,0.5,500,1,0.9009166177701122
0,0.5,500,1,1.0436618165740539
0,0.5,500,1,0.7112297029462298
0,0.5,500,1,0.7956219767187288
0,0.5,500,1,0.7070854605962286
0,0.5,500,1,0.8916558578308886
0,0.5,500,1,0.9829923083935801
0,0.5,500,1,1.1211858959052374
0,0.5,500,1,1.0674380208766665
