,sim,i,s,area_random,area_hypercube,area_orthogonal,times_random,times_hypercube,times_orthogonal
0,0.0,2582,3025,1.466181818181818,1.525090909090909,1.5076363636363637,0.2913473760254419,0.2909392129913613,42.059829033036294
1,1.0,2582,3025,1.4705454545454544,1.455272727272727,1.522909090909091,0.28049512497636897,0.2737513440351904,37.80472990803355
2,2.0,2582,3025,1.4814545454545454,1.4618181818181817,1.522909090909091,0.2806252909704199,0.27202030899024976,37.23347678299069
3,3.0,2582,3025,1.5272727272727273,1.5403636363636362,1.479272727272727,0.2901285760453902,0.2873200190060743,37.11041221891173
4,4.0,2582,3025,1.4574545454545453,1.5599999999999998,1.5294545454545454,0.2796358399791643,0.29203744695405476,44.40225848903901
5,5.0,2582,3025,1.4203636363636363,1.5534545454545452,1.5098181818181817,0.28328902509383624,0.2927046490185603,37.134381077008584
6,6.0,2582,3025,1.4683636363636363,1.4465454545454544,1.4923636363636363,0.2780020611244254,0.27157602296210825,36.84764012507003
7,7.0,2582,3025,1.464,1.4945454545454544,1.5098181818181817,0.2797495300110313,0.2837593570329773,36.80165589289754
8,8.0,2582,3025,1.522909090909091,1.479272727272727,1.512,0.2998374830604007,0.2806510440168495,36.31619001300351
9,9.0,2582,3025,1.4705454545454544,1.4923636363636363,1.501090909090909,0.27913802893453976,0.2787273489484505,36.4233179500734
10,10.0,2582,3025,1.4487272727272726,1.5185454545454546,1.5163636363636364,0.27388980109026306,0.30715093012622674,36.50666768695373
11,11.0,2582,3025,1.466181818181818,1.490181818181818,1.5185454545454546,0.2837815089515061,0.28177349492398207,36.512898337114166
12,12.0,2582,3025,1.4378181818181819,1.416,1.5032727272727273,0.2726145751403237,0.26780903197141015,36.81980854003268
13,13.0,2582,3025,1.538181818181818,1.4727272727272727,1.5185454545454546,0.2940743916769861,0.2777639307969366,37.099826351957745
14,14.0,2582,3025,1.5665454545454545,1.453090909090909,1.501090909090909,0.2956306100350048,0.27061340297586867,36.590936131011404
15,15.0,2582,3025,1.4334545454545455,1.5469090909090908,1.5098181818181817,0.2834603510455054,0.3011548850190593,36.689329897046264
16,16.0,2582,3025,1.5032727272727273,1.4727272727272727,1.5163636363636364,0.28617890898749465,0.2817904100375017,36.70690211200417
17,17.0,2582,3025,1.525090909090909,1.5861818181818181,1.512,0.2872281609743368,0.2934485621008207,36.65602779294204
18,18.0,2582,3025,1.4465454545454544,1.488,1.5163636363636364,0.28130576801413554,0.27789539212244563,36.56944657588974
19,19.0,2582,3025,1.5621818181818181,1.5490909090909089,1.5054545454545454,0.29558543907114654,0.29004322310356656,36.506561603138834
20,20.0,2582,3025,1.522909090909091,1.479272727272727,1.4967272727272727,0.29561951305367984,0.27648502691590693,36.46793104706012
21,21.0,2582,3025,1.453090909090909,1.5032727272727273,1.4945454545454544,0.2759474070626311,0.2784731589636067,36.425089921871404
22,22.0,2582,3025,1.4967272727272727,1.5316363636363637,1.4989090909090907,0.28218286106493906,0.29463897711320897,36.16082148600253
23,23.0,2582,3025,1.514181818181818,1.5796363636363635,1.501090909090909,0.29200040405703476,0.295149610057706,36.17259312000897
24,24.0,2582,3025,1.4618181818181817,1.525090909090909,1.5076363636363637,0.286124902911979,0.28703449295062455,36.488913665940345
25,25.0,2582,3025,1.4945454545454544,1.5032727272727273,1.514181818181818,0.28272985027797404,0.2796618551510619,36.26650325299488
26,26.0,2582,3025,1.5185454545454546,1.4618181818181817,1.4923636363636363,0.2868482250632951,0.28206061895616585,35.843565478044184
27,27.0,2582,3025,1.514181818181818,1.5098181818181817,1.5054545454545454,0.28679185610599234,0.29070738389418693,35.89241656691593
28,28.0,2582,3025,1.4705454545454544,1.538181818181818,1.5272727272727273,0.27791213096134015,0.28831009388522943,36.23075277415046
29,29.0,2582,3025,1.4509090909090907,1.512,1.5054545454545454,0.27388910101217334,0.2905363699719601,35.80109618196366
30,30.0,2582,3025,1.514181818181818,1.5556363636363635,1.5098181818181817,0.2977762999580591,0.3001335689696134,36.0850089359883
31,31.0,2582,3025,1.4945454545454544,1.477090909090909,1.525090909090909,0.283379755099304,0.28520104490598897,36.3407286220463
32,32.0,2582,3025,1.5359999999999998,1.4618181818181817,1.5098181818181817,0.2989604829454038,0.27374280393269146,36.153278046953346
33,33.0,2582,3025,1.4487272727272726,1.5207272727272727,1.5032727272727273,0.2838232949616213,0.28702815599172027,36.23935900005017
34,34.0,2582,3025,1.525090909090909,1.573090909090909,1.514181818181818,0.2884694721105916,0.2963958779073437,35.786314854980446
35,35.0,2582,3025,1.466181818181818,1.442181818181818,1.4923636363636363,0.2854074819224479,0.2704653909531771,36.713340921014606
36,36.0,2582,3025,1.4945454545454544,1.5098181818181817,1.5185454545454546,0.28371074106689775,0.2962055959251302,36.85643713986428
37,37.0,2582,3025,1.5054545454545454,1.4509090909090907,1.5076363636363637,0.2854751360719092,0.2720530999613402,40.07964519696907
38,38.0,2582,3025,1.5076363636363637,1.4836363636363636,1.501090909090909,0.28565025794887333,0.28015097185925697,36.78360524390882
39,39.0,2582,3025,1.5098181818181817,1.5294545454545454,1.512,0.3043773481003882,0.2836081259083585,36.17002599191983
40,40.0,2582,3025,1.5687272727272725,1.5185454545454546,1.501090909090909,0.2965107820236881,0.28469900412892457,36.27205599497029
41,41.0,2582,3025,1.6254545454545455,1.442181818181818,1.5272727272727273,0.3091380830810522,0.2729159458394861,36.828256301068905
42,42.0,2582,3025,1.538181818181818,1.4858181818181817,1.5207272727272727,0.29318969808446127,0.27927596403606003,36.63629011191006
43,43.0,2582,3025,1.5992727272727272,1.5207272727272727,1.5032727272727273,0.31568741500086617,0.2848110109807749,36.64153983691722
