,sim,i,s,area_pds,times_pds
0,0.0,2582,3025,1.5455968688845398,0.3923888609660935
1,1.0,2582,3025,1.5270588235294118,0.3947733100339974
2,2.0,2582,3025,1.5057199211045365,0.378683989010824
3,3.0,2582,3025,1.4988134475939354,0.37615616102448257
4,4.0,2582,3025,1.494871794871795,0.3735217220419145
5,5.0,2582,3025,1.5394218134034163,0.40657894499054237
6,6.0,2582,3025,1.517391304347826,0.3748610359725717
7,7.0,2582,3025,1.4584676093390332,0.392770915026631
8,8.0,2582,3025,1.5092442426208237,0.3795331850160437
9,9.0,2582,3025,1.5317926708484648,0.39557337000042025
10,10.0,2582,3025,1.5335740072202166,0.38875185204051377
11,11.0,2582,3025,1.5171428571428571,0.38703754102061794
12,12.0,2582,3025,1.4640467684313088,0.3700088660225447
13,13.0,2582,3025,1.5282608695652171,0.39170266098881257
14,14.0,2582,3025,1.4895609756097559,0.38073778898433375
15,15.0,2582,3025,1.484406668846028,0.3832815279984061
16,16.0,2582,3025,1.4885106382978721,0.3730588069793157
17,17.0,2582,3025,1.5309941520467834,0.3886428889891249
18,18.0,2582,3025,1.5381171823568136,0.38551119100702635
19,19.0,2582,3025,1.5019646365422397,0.38175081994086213
20,20.0,2582,3025,1.5225742574257426,0.38070077604425023
21,21.0,2582,3025,1.5096085409252669,0.3871503470600146
22,22.0,2582,3025,1.4974426229508195,0.3713902230574604
23,23.0,2582,3025,1.5194704552793026,0.38902854994921654
24,24.0,2582,3025,1.5166504381694255,0.38246830102434615
25,25.0,2582,3025,1.4896210873146623,0.37208998795904336
26,26.0,2582,3025,1.491015625,0.37971555104923027
27,27.0,2582,3025,1.492061417837308,0.37653056405724783
28,28.0,2582,3025,1.508820614469772,0.37809285299408657
29,29.0,2582,3025,1.5184313725490195,0.38243950598553056
30,30.0,2582,3025,1.4858638743455497,0.3766291350366373
31,31.0,2582,3025,1.5422164445888853,0.396960081969155
32,32.0,2582,3025,1.535632931988285,0.38327694196959783
33,33.0,2582,3025,1.560825417622011,0.39407771405058156
34,34.0,2582,3025,1.528444003964321,0.3951667389810609
35,35.0,2582,3025,1.4963737340738321,0.37977506109382375
36,36.0,2582,3025,1.4790516401429035,0.3836896139255259
37,37.0,2582,3025,1.4714332141696456,0.37994060606797575
38,38.0,2582,3025,1.4786767114313788,0.3765492529637413
39,39.0,2582,3025,1.5082658022690438,0.3964785300431686
40,40.0,2582,3025,1.477873754152824,0.3744034190003731
41,41.0,2582,3025,1.4887378640776698,0.38692359198648774
42,42.0,2582,3025,1.4880866425992778,0.38470320698979776
