rho,c,s,mean_wait_time
0.95,500000,2,26.64180659271624
0.95,500000,2,25.97741848094094
0.95,500000,2,26.992541674820814
0.95,500000,2,22.717072280499806
0.95,500000,2,25.517733334053762
0.95,500000,2,22.626473003782152
0.95,500000,2,23.86145059724951
0.95,500000,2,24.16960508807474
0.95,500000,2,24.28825634906341
0.95,500000,2,21.701287061622395
0.95,500000,2,22.10452208364699
0.95,500000,2,23.063920353601
0.95,500000,2,23.967592183724623
0.95,500000,2,23.03203571801516
0.95,500000,2,23.821800244233582
0.95,500000,2,24.153877637813423
0.95,500000,2,23.60098848108748
0.95,500000,2,24.13992738763341
0.95,500000,2,24.26775301686586
0.95,500000,2,22.576706097822143
0.95,500000,2,22.171586265753735
0.95,500000,2,23.127746720794725
0.95,500000,2,22.243692585937826
0.95,500000,2,25.81655100162756
0.95,500000,2,23.182668686645492
0.95,500000,2,23.908289310487596
0.95,500000,2,24.615247303505807
0.95,500000,2,24.4789400145923
0.95,500000,2,22.454366739815317
0.95,500000,2,22.557037644099776
0.95,500000,2,24.435967606701826
0.95,500000,2,24.55900204731499
0.95,500000,2,22.432892482076607
0.95,500000,2,26.569586899565454
0.95,500000,2,23.834180141496404
0.95,500000,2,25.06968234953322
0.95,500000,2,21.882774908749553
0.95,500000,2,23.93801795219876
0.95,500000,2,22.769124783936647
0.95,500000,2,25.721277721737582
0.95,500000,2,23.131490030366482
0.95,500000,2,23.850056619678856
0.95,500000,2,24.35733896423463
0.95,500000,2,22.570798692930488
0.95,500000,2,22.379355212764743
0.95,500000,2,23.88378551706793
0.95,500000,2,22.961966591477434
0.95,500000,2,22.37809935857427
0.95,500000,2,25.513377170363796
0.95,500000,2,23.873183540585792
0.95,500000,2,23.554482392711012
0.95,500000,2,21.974016353413315
0.95,500000,2,23.117942505733552
0.95,500000,2,21.692040819031227
0.95,500000,2,26.189977222790073
0.95,500000,2,21.0093010037873
0.95,500000,2,23.25940570695843
0.95,500000,2,21.911623594995817
0.95,500000,2,23.371257952416336
0.95,500000,2,24.320010398788973
0.95,500000,2,20.36138299983001
0.95,500000,2,24.61596062232103
0.95,500000,2,23.445026637002737
0.95,500000,2,24.787822605375332
0.95,500000,2,24.617657843505626
0.95,500000,2,23.757909762943928
0.95,500000,2,23.085642525483244
0.95,500000,2,23.420740363505875
0.95,500000,2,22.778201351222158
0.95,500000,2,24.76283541318064
0.95,500000,2,22.680976704798482
0.95,500000,2,25.588640152381334
0.95,500000,2,24.087551052355067
0.95,500000,2,22.167583401989305
0.95,500000,2,25.562132248565756
0.95,500000,2,23.98807825722598
0.95,500000,2,25.24355016158182
0.95,500000,2,22.527058164574044
0.95,500000,2,22.512414878004993
0.95,500000,2,24.344555006135703
0.95,500000,2,21.420464010908425
0.95,500000,2,23.399614821749836
0.95,500000,2,24.246836035506625
0.95,500000,2,23.069930471846796
0.95,500000,2,21.48249908701338
0.95,500000,2,24.281774386829287
0.95,500000,2,24.040383332040264
0.95,500000,2,22.34551572129994
0.95,500000,2,23.674786625379785
0.95,500000,2,23.83544569075516
0.95,500000,2,22.26792816868753
0.95,500000,2,21.77193208964477
0.95,500000,2,25.084169220239108
0.95,500000,2,25.280043075001064
0.95,500000,2,24.210600426305284
0.95,500000,2,21.625854090457793
0.95,500000,2,22.737825143870765
0.95,500000,2,26.372964736272085
0.95,500000,2,22.29872059810912
0.95,500000,2,24.548210202673577
