rho,c,s,mean_wait_time
0.8,500000,2,5.018739235467198
0.8,500000,2,4.998535691542805
0.8,500000,2,4.9198304792922665
0.8,500000,2,5.018852574657358
0.8,500000,2,5.211840974685214
0.8,500000,2,5.007648691579089
0.8,500000,2,4.941798328371104
0.8,500000,2,4.918113675702773
0.8,500000,2,5.200164177195159
0.8,500000,2,4.9754761292491185
0.8,500000,2,5.030191440169848
0.8,500000,2,4.915591848334869
0.8,500000,2,4.950472135316883
0.8,500000,2,4.979410971234126
0.8,500000,2,5.094759375783322
0.8,500000,2,4.974750422232647
0.8,500000,2,5.028959953944348
0.8,500000,2,4.972459966006988
0.8,500000,2,4.952243857925344
0.8,500000,2,4.922400142866376
0.8,500000,2,4.908579731661123
0.8,500000,2,5.066903107624922
0.8,500000,2,5.013617729981894
0.8,500000,2,5.022847784515252
0.8,500000,2,4.987833611872922
0.8,500000,2,5.106796583708047
0.8,500000,2,5.148915465720377
0.8,500000,2,5.065134108936524
0.8,500000,2,5.106851755785624
0.8,500000,2,5.022331023539873
0.8,500000,2,5.145320312846512
0.8,500000,2,4.928787567063773
0.8,500000,2,5.01334868686229
0.8,500000,2,4.944917124294662
0.8,500000,2,4.9869752855288665
0.8,500000,2,5.029314922314727
0.8,500000,2,4.95749354498633
0.8,500000,2,5.081656391915893
0.8,500000,2,4.838620490251283
0.8,500000,2,4.90677557592013
0.8,500000,2,4.892040080959254
0.8,500000,2,4.960796361672884
0.8,500000,2,4.941739905826791
0.8,500000,2,4.9788799454779555
0.8,500000,2,4.974897724629964
0.8,500000,2,4.941776174046929
0.8,500000,2,4.885990393483085
0.8,500000,2,4.996310784200577
0.8,500000,2,5.060027172373059
0.8,500000,2,5.093105020351155
0.8,500000,2,4.873285717134175
0.8,500000,2,5.017258177493149
0.8,500000,2,4.963120276856617
0.8,500000,2,5.039186797801825
0.8,500000,2,5.096689727999789
0.8,500000,2,4.929729355911832
0.8,500000,2,4.9655922004951
0.8,500000,2,5.0555725348955
0.8,500000,2,4.8404677150750075
0.8,500000,2,5.0565742300855145
0.8,500000,2,4.915228788800788
0.8,500000,2,5.027619636011469
0.8,500000,2,4.872375701007161
0.8,500000,2,4.867548449779894
0.8,500000,2,4.993469097785456
0.8,500000,2,5.009067451388773
0.8,500000,2,4.909338331004223
0.8,500000,2,5.008594629123604
0.8,500000,2,5.071394349715891
0.8,500000,2,5.0446560874700275
0.8,500000,2,4.987731619819103
0.8,500000,2,4.900047216392501
0.8,500000,2,4.86189394136517
0.8,500000,2,4.993046001994303
0.8,500000,2,5.16913528012684
0.8,500000,2,4.997200189431677
0.8,500000,2,4.839457632107494
0.8,500000,2,5.066556839267344
0.8,500000,2,5.067194529589685
0.8,500000,2,5.09802678769849
0.8,500000,2,5.058553256650116
0.8,500000,2,4.997498643346018
0.8,500000,2,4.8039819267324075
0.8,500000,2,5.024730651922407
0.8,500000,2,4.8487770119502
0.8,500000,2,5.120433631823742
0.8,500000,2,4.900748127581975
0.8,500000,2,4.946387536056763
0.8,500000,2,4.925094108697466
0.8,500000,2,5.055013241284099
0.8,500000,2,5.129187052005222
0.8,500000,2,4.948357066505389
0.8,500000,2,5.075709441926835
0.8,500000,2,4.9739673520854035
0.8,500000,2,4.929876939600984
0.8,500000,2,5.060258459932642
0.8,500000,2,5.015216773452344
0.8,500000,2,4.974783229346298
0.8,500000,2,4.887739550535365
0.8,500000,2,5.0441994797777046
