,sim,i,s,area_h,times_h
0,0.0,2582,3025,1.522909090909091,0.315405269004259
1,1.0,2582,3025,1.525090909090909,0.3306739119980193
2,2.0,2582,3025,1.5054545454545454,0.3087616889824858
3,3.0,2582,3025,1.501090909090909,0.3072785620515788
4,4.0,2582,3025,1.5338181818181817,0.3232729310821014
5,5.0,2582,3025,1.5076363636363637,0.31301382796664257
6,6.0,2582,3025,1.490181818181818,0.30143802001475706
7,7.0,2582,3025,1.4858181818181817,0.3295871240316046
8,8.0,2582,3025,1.5294545454545454,0.3162261719844537
9,9.0,2582,3025,1.488,0.30972503107659577
10,10.0,2582,3025,1.4945454545454544,0.314227114093228
11,11.0,2582,3025,1.522909090909091,0.3148009009873931
12,12.0,2582,3025,1.5163636363636364,0.3151539120335656
13,13.0,2582,3025,1.4945454545454544,0.31520450900279684
14,14.0,2582,3025,1.514181818181818,0.3296838629448757
15,15.0,2582,3025,1.522909090909091,0.3401114019743545
16,16.0,2582,3025,1.4989090909090907,0.31582158298078866
17,17.0,2582,3025,1.4967272727272727,0.3251362110277114
18,18.0,2582,3025,1.5032727272727273,0.324270153989346
19,19.0,2582,3025,1.5294545454545454,0.3217125600349391
20,20.0,2582,3025,1.512,0.32102062199555803
21,21.0,2582,3025,1.5207272727272727,0.31553833097314055
22,22.0,2582,3025,1.525090909090909,0.3098045420501876
23,23.0,2582,3025,1.5316363636363637,0.3774322479930561
24,24.0,2582,3025,1.5272727272727273,0.34319004999088065
25,25.0,2582,3025,1.5163636363636364,0.31338469598267693
26,26.0,2582,3025,1.5469090909090908,0.3213926080170495
27,27.0,2582,3025,1.5316363636363637,0.31709601697184553
28,28.0,2582,3025,1.5425454545454544,0.3141277269951388
29,29.0,2582,3025,1.5272727272727273,0.32095026502065593
30,30.0,2582,3025,1.4967272727272727,0.3175423280172254
31,31.0,2582,3025,1.514181818181818,0.30639726300069015
32,32.0,2582,3025,1.5163636363636364,0.3150092410051002
33,33.0,2582,3025,1.490181818181818,0.3239271290440229
34,34.0,2582,3025,1.5359999999999998,0.31434252799772366
35,35.0,2582,3025,1.4967272727272727,0.31514849398081424
36,36.0,2582,3025,1.5098181818181817,0.3132633579971298
