sim,rho,customer_no,servers,mean_waiting_time
0,0.5,100,1,0.8200073359414054
0,0.5,100,1,0.8348880945008744
0,0.5,100,1,0.7600090809167175
0,0.5,100,1,0.8695433328113031
0,0.5,100,1,0.5075558395801388
0,0.5,100,1,0.36865699109930467
0,0.5,100,1,0.47252241768725756
0,0.5,100,1,0.41945445638097795
0,0.5,100,1,0.5044446652229994
0,0.5,100,1,0.4250105361488906
0,0.5,100,1,0.6593471854071045
0,0.5,100,1,0.5515463839938904
0,0.5,100,1,0.8312219398859864
0,0.5,100,1,1.0260911065316554
0,0.5,100,1,0.4002339919085671
0,0.5,100,1,0.5310745838118015
0,0.5,100,1,0.5040889306193597
0,0.5,100,1,0.648978591580672
0,0.5,100,1,0.5156518158545922
0,0.5,100,1,0.6394032165633198
0,0.5,100,1,1.2814126699203285
0,0.5,100,1,0.7624406136917204
0,0.5,100,1,0.9084907174006304
0,0.5,100,1,0.5277431665197733
0,0.5,100,1,0.5538392951922132
0,0.5,100,1,0.7425815808719753
0,0.5,100,1,0.5399713356452334
0,0.5,100,1,0.6111326414001448
0,0.5,100,1,0.7465675809741132
0,0.5,100,1,0.297678436826447
0,0.5,100,1,0.5800493989578979
0,0.5,100,1,0.36748357245281726
0,0.5,100,1,2.1262858332399297
0,0.5,100,1,0.5720297568862851
0,0.5,100,1,0.5603303961402598
0,0.5,100,1,0.42261736907750175
0,0.5,100,1,0.5634912026046791
0,0.5,100,1,0.6030959659413159
0,0.5,100,1,0.8893847424480549
0,0.5,100,1,0.6919643618087288
0,0.5,100,1,0.5278983701887714
0,0.5,100,1,0.2530755372836769
0,0.5,100,1,0.5784541361514745
0,0.5,100,1,0.30649565157821057
0,0.5,100,1,0.5910556774192322
0,0.5,100,1,0.5237575920114579
0,0.5,100,1,0.7749717971645255
0,0.5,100,1,0.699302883324379
0,0.5,100,1,1.2627773086391019
0,0.5,100,1,0.5969978207608471
0,0.5,500,1,0.7826458009260427
0,0.5,500,1,0.5999702689787186
0,0.5,500,1,0.5893938744793683
0,0.5,500,1,0.6695954655499354
0,0.5,500,1,0.5359679432149439
0,0.5,500,1,0.5477949806008259
0,0.5,500,1,0.6925156336019733
0,0.5,500,1,0.6863950876957482
0,0.5,500,1,0.6954272399187413
0,0.5,500,1,0.598270761284646
0,0.5,500,1,0.5066602676006645
0,0.5,500,1,0.5838660901651667
0,0.5,500,1,0.6488386999360637
0,0.5,500,1,0.6499898048018922
0,0.5,500,1,0.5681125834824445
0,0.5,500,1,0.5751251117146376
0,0.5,500,1,0.671368461116072
0,0.5,500,1,0.7263005258796971
0,0.5,500,1,0.6714381310471453
0,0.5,500,1,0.5362219631267294
0,0.5,500,1,0.582895131119161
0,0.5,500,1,0.6952310297286657
0,0.5,500,1,0.6557475748669239
0,0.5,500,1,0.8148914956453338
0,0.5,500,1,0.7277456724409604
0,0.5,500,1,0.8679252491613529
0,0.5,500,1,0.5368421182875486
0,0.5,500,1,0.6350307376203542
0,0.5,500,1,0.47820220606577196
0,0.5,500,1,0.5696652299624739
0,0.5,500,1,0.5933769000497003
0,0.5,500,1,0.7894785380573976
0,0.5,500,1,0.6940467808092329
0,0.5,500,1,0.5525474914840361
0,0.5,500,1,0.5797437130997662
0,0.5,500,1,0.7037925085156819
0,0.5,500,1,0.5740478553295574
0,0.5,500,1,0.5820145937611969
0,0.5,500,1,0.6658278464995581
0,0.5,500,1,0.5462011159559349
0,0.5,500,1,0.5529148115057022
0,0.5,500,1,0.5373619389751695
0,0.5,500,1,0.5038385102600911
0,0.5,500,1,0.4566900838468591
0,0.5,500,1,0.5588663155374529
0,0.5,500,1,0.5532631176391322
0,0.5,500,1,0.5075775870521522
0,0.5,500,1,0.5375697798128931
0,0.5,500,1,0.49984320149867645
0,0.5,500,1,0.6118435587874406
0,0.5,1000,1,0.5711561634076946
0,0.5,1000,1,0.5527150397506498
0,0.5,1000,1,0.6099847284570135
0,0.5,1000,1,0.5596481833308538
0,0.5,1000,1,0.6638007729696991
0,0.5,1000,1,0.5354827403828208
0,0.5,1000,1,0.569451844786602
0,0.5,1000,1,0.5657325573076694
0,0.5,1000,1,0.7340794116924332
0,0.5,1000,1,0.6105358832806613
0,0.5,1000,1,0.6294044376562142
0,0.5,1000,1,0.6255752950542653
0,0.5,1000,1,0.6385223662324228
0,0.5,1000,1,0.6923262054646013
0,0.5,1000,1,0.5927886917149819
0,0.5,1000,1,0.4816185600808967
0,0.5,1000,1,0.5929443793348369
0,0.5,1000,1,0.5831153535836627
0,0.5,1000,1,0.5897701721374401
0,0.5,1000,1,0.6116051129436219
0,0.5,1000,1,0.6281898316306285
0,0.5,1000,1,0.5888487736843503
0,0.5,1000,1,0.5975394371087588
0,0.5,1000,1,0.5578397103876352
0,0.5,1000,1,0.7541139502201543
0,0.5,1000,1,0.6486878456215713
0,0.5,1000,1,0.6108999192030247
0,0.5,1000,1,0.6806838843791648
0,0.5,1000,1,0.5412611496829323
0,0.5,1000,1,0.6547480664896455
0,0.5,1000,1,0.5552011337187389
0,0.5,1000,1,0.6733998043964567
0,0.5,1000,1,0.5766063134300616
0,0.5,1000,1,0.5804960206294484
0,0.5,1000,1,0.6021408661954586
0,0.5,1000,1,0.6680580189878883
0,0.5,1000,1,0.5398376589548954
0,0.5,1000,1,0.6302868587849373
0,0.5,1000,1,0.5918798694187475
0,0.5,1000,1,0.5303910287332437
0,0.5,1000,1,0.6061531808972773
0,0.5,1000,1,0.5849341496993524
0,0.5,1000,1,0.6848626273276659
0,0.5,1000,1,0.5524608106675164
0,0.5,1000,1,0.6910402521135475
0,0.5,1000,1,0.5642278104908144
0,0.5,1000,1,0.7668582227332414
0,0.5,1000,1,0.6100922407365119
0,0.5,1000,1,0.659025981916131
0,0.5,1000,1,0.5411231755935003
0,0.5,5000,1,0.5817092613500996
0,0.5,5000,1,0.6719065870810693
0,0.5,5000,1,0.609326419105661
0,0.5,5000,1,0.5804226600300538
0,0.5,5000,1,0.6351198658304154
0,0.5,5000,1,0.6316486652109147
0,0.5,5000,1,0.6242320218141354
0,0.5,5000,1,0.6262169291794889
0,0.5,5000,1,0.6520413718232834
0,0.5,5000,1,0.6532657516018722
0,0.5,5000,1,0.6503147560649649
0,0.5,5000,1,0.6533344069936495
0,0.5,5000,1,0.6710321743386303
0,0.5,5000,1,0.6163858865651131
0,0.5,5000,1,0.6161909191761005
0,0.5,5000,1,0.6299636772020883
0,0.5,5000,1,0.5717435589358995
0,0.5,5000,1,0.6366819687652809
0,0.5,5000,1,0.601581853065022
0,0.5,5000,1,0.6157148877496844
0,0.5,5000,1,0.6698928564440882
0,0.5,5000,1,0.701023387808384
0,0.5,5000,1,0.663343038811604
0,0.5,5000,1,0.6602951953738266
0,0.5,5000,1,0.6862453998131798
0,0.5,5000,1,0.6619647934082609
0,0.5,5000,1,0.616759649142298
0,0.5,5000,1,0.6514537952469245
0,0.5,5000,1,0.6005543813731747
0,0.5,5000,1,0.6198211563101007
0,0.5,5000,1,0.6179817807344893
0,0.5,5000,1,0.662512443891194
0,0.5,5000,1,0.6515083288487292
0,0.5,5000,1,0.6267907293286739
0,0.5,5000,1,0.6250728895960082
0,0.5,5000,1,0.6415338274846509
0,0.5,5000,1,0.619179021896992
0,0.5,5000,1,0.7316852365780274
0,0.5,5000,1,0.5870172485892815
0,0.5,5000,1,0.5764305388327082
0,0.5,5000,1,0.6226509569528789
0,0.5,5000,1,0.6719342880996809
