sim,rho,customer_no,servers,mean_waiting_time
0,0.9,100,1,3.97893694604796
0,0.9,100,1,3.3657178541727353
0,0.9,100,1,7.8736796978108865
0,0.9,100,1,9.32386977922448
0,0.9,100,1,6.754852557407483
0,0.9,100,1,41.71113562367228
0,0.9,100,1,33.211102892485314
0,0.9,100,1,13.867763695461026
0,0.9,100,1,3.5336727433892294
0,0.9,100,1,1.4207043049713934
0,0.9,100,1,29.145865643668582
0,0.9,100,1,13.869591030573279
0,0.9,100,1,2.8346997017659863
0,0.9,100,1,5.302435003054213
0,0.9,100,1,6.866317965473814
0,0.9,100,1,14.240772251298427
0,0.9,100,1,3.1883641738277184
0,0.9,100,1,4.9418707173505325
0,0.9,100,1,3.3771628855779867
0,0.9,100,1,14.119580267696383
0,0.9,100,1,4.915001894736305
0,0.9,100,1,9.75986470402508
0,0.9,100,1,1.889320644117767
0,0.9,100,1,8.64951883245921
0,0.9,100,1,2.285021607193651
0,0.9,100,1,6.347464217931966
0,0.9,100,1,24.309578770285434
0,0.9,100,1,10.03748408967118
0,0.9,100,1,8.75770189698188
0,0.9,100,1,9.33371604935756
0,0.9,100,1,3.0018865702856283
0,0.9,100,1,7.515247821455654
0,0.9,100,1,12.62333296582583
0,0.9,100,1,25.91156845906419
0,0.9,100,1,9.92884582001927
0,0.9,100,1,2.691695641781296
0,0.9,100,1,27.891198638124298
0,0.9,100,1,5.906165272106978
0,0.9,100,1,16.83541078213434
0,0.9,100,1,3.974430461532769
0,0.9,100,1,7.220716503493022
0,0.9,100,1,14.339282719242885
0,0.9,100,1,4.059591406690752
0,0.9,100,1,8.33583506120207
0,0.9,100,1,5.766255326749611
0,0.9,100,1,5.495080926642356
0,0.9,100,1,6.640612780388812
0,0.9,100,1,4.586255172398853
0,0.9,100,1,5.71123586697383
0,0.9,100,1,7.074147375668961
0,0.9,500,1,10.203798150100022
0,0.9,500,1,5.996679862817004
0,0.9,500,1,7.720564805762116
0,0.9,500,1,20.81095167724309
0,0.9,500,1,14.979867564684282
0,0.9,500,1,21.215876967428716
0,0.9,500,1,10.526713089835654
0,0.9,500,1,12.768046833667691
0,0.9,500,1,11.132172785559163
0,0.9,500,1,4.926723482597777
0,0.9,500,1,7.978940866738818
0,0.9,500,1,6.545454398991131
0,0.9,500,1,16.224641374255903
0,0.9,500,1,11.147611155807105
0,0.9,500,1,8.638991073827844
0,0.9,500,1,4.3003155929952745
0,0.9,500,1,29.099803851854414
0,0.9,500,1,4.519616777605328
0,0.9,500,1,9.751683828750382
0,0.9,500,1,6.307224710382601
0,0.9,500,1,7.2805573098885565
0,0.9,500,1,6.645608662384257
0,0.9,500,1,43.63422073425287
0,0.9,500,1,6.7289423315407495
0,0.9,500,1,26.24867973814776
0,0.9,500,1,18.763430943725375
0,0.9,500,1,8.133594292566787
0,0.9,500,1,23.633545876277932
0,0.9,500,1,40.28398746810317
0,0.9,500,1,18.58838053162109
0,0.9,500,1,11.038882636474739
0,0.9,500,1,25.994967105327056
0,0.9,500,1,22.475146276853426
0,0.9,500,1,22.777687031676628
0,0.9,500,1,11.37773235221262
0,0.9,500,1,19.863988704176222
0,0.9,500,1,7.385347121988285
0,0.9,500,1,7.591610529485404
0,0.9,500,1,15.311016222579507
0,0.9,500,1,9.129935679383289
0,0.9,500,1,5.442481254752906
0,0.9,500,1,43.68077074191481
0,0.9,500,1,7.293829158809487
0,0.9,500,1,51.71083542050836
0,0.9,500,1,46.169928373773175
0,0.9,500,1,29.441841493834975
0,0.9,500,1,11.448149021587374
0,0.9,500,1,13.423917430945707
0,0.9,500,1,12.710750502343013
0,0.9,500,1,28.15784694838351
0,0.9,1000,1,13.843351064842992
0,0.9,1000,1,20.73553381724016
0,0.9,1000,1,58.09073990589192
0,0.9,1000,1,72.91959827259812
0,0.9,1000,1,18.743043066159185
0,0.9,1000,1,17.87640761338918
0,0.9,1000,1,48.61365611097757
0,0.9,1000,1,12.180258953328046
0,0.9,1000,1,47.47865319980249
0,0.9,1000,1,17.940068408052653
0,0.9,1000,1,20.621097523768473
0,0.9,1000,1,8.307094120932142
0,0.9,1000,1,18.17689633237118
0,0.9,1000,1,15.057291032884384
0,0.9,1000,1,5.991334844481722
0,0.9,1000,1,14.81883296285852
0,0.9,1000,1,16.598421763306032
0,0.9,1000,1,12.04993698750447
0,0.9,1000,1,9.360398287562083
0,0.9,1000,1,23.650787651308594
0,0.9,1000,1,10.339580924273571
0,0.9,1000,1,25.946245977132037
0,0.9,1000,1,14.640630472599572
0,0.9,1000,1,28.90701549354398
0,0.9,1000,1,37.427109097469256
0,0.9,1000,1,17.536093245559805
0,0.9,1000,1,34.9047617949629
0,0.9,1000,1,8.104281786648494
0,0.9,1000,1,50.07425627166619
0,0.9,1000,1,33.268691908476875
0,0.9,1000,1,20.144479126534552
0,0.9,1000,1,30.041658333918402
0,0.9,1000,1,10.32142976398214
0,0.9,1000,1,7.488979200913645
0,0.9,1000,1,13.430912976774275
0,0.9,1000,1,44.71291742256559
0,0.9,1000,1,21.167662608144987
0,0.9,1000,1,17.44093698313457
0,0.9,1000,1,25.539562776496844
0,0.9,1000,1,22.247692290684377
0,0.9,1000,1,7.949822618355836
0,0.9,1000,1,13.776534201878375
0,0.9,1000,1,14.189568170730862
0,0.9,1000,1,9.844093659561102
0,0.9,1000,1,10.933511047658442
0,0.9,1000,1,13.303991871144536
0,0.9,1000,1,33.14086914333295
0,0.9,1000,1,9.946507427557343
0,0.9,1000,1,11.13237358671819
0,0.9,1000,1,23.530311723865786
0,0.9,5000,1,17.18431132982787
0,0.9,5000,1,32.33196538328005
0,0.9,5000,1,19.995934043143457
0,0.9,5000,1,17.56178682297307
0,0.9,5000,1,32.9244667873728
0,0.9,5000,1,17.592417026219582
0,0.9,5000,1,15.38492058251396
0,0.9,5000,1,35.99322932177285
0,0.9,5000,1,18.242365722029678
0,0.9,5000,1,28.407623149210103
0,0.9,5000,1,12.279072325934617
0,0.9,5000,1,15.50403322029066
0,0.9,5000,1,13.04320315628343
0,0.9,5000,1,26.980501534485533
0,0.9,5000,1,20.75623185449484
0,0.9,5000,1,28.611100012059534
0,0.9,5000,1,45.29708291926558
0,0.9,5000,1,27.961460417983854
0,0.9,5000,1,29.609443374152168
0,0.9,5000,1,21.058797846935907
0,0.9,5000,1,23.97916567180038
0,0.9,5000,1,24.330611644407206
0,0.9,5000,1,14.04785194871828
0,0.9,5000,1,14.028472508458153
0,0.9,5000,1,13.307162348264141
0,0.9,5000,1,46.99686266692296
0,0.9,5000,1,24.19539022456743
0,0.9,5000,1,17.801238980396466
0,0.9,5000,1,32.601381336115566
0,0.9,5000,1,29.17377958795645
0,0.9,5000,1,22.526478753611503
0,0.9,5000,1,35.30188303816307
0,0.9,5000,1,26.683653981891325
0,0.9,5000,1,23.810073032572824
0,0.9,5000,1,30.77549370539421
0,0.9,5000,1,16.80931344584022
0,0.9,5000,1,14.220804593324612
0,0.9,5000,1,16.35664529300452
0,0.9,5000,1,30.90777104301564
0,0.9,5000,1,13.679468160743808
0,0.9,5000,1,18.339833713613388
0,0.9,5000,1,20.85282598470315
