rho,c,s,mean_wait_time
0.95,500000,1,6.44008483588606
0.95,500000,1,6.367639476683304
0.95,500000,1,5.94466718393827
0.95,500000,1,6.3575005143925125
0.95,500000,1,6.947760450018793
0.95,500000,1,6.3235071633694915
0.95,500000,1,6.8247142021607905
0.95,500000,1,6.393639985924799
0.95,500000,1,6.5708487929295005
0.95,500000,1,6.8583563682347775
0.95,500000,1,6.3754649087076
0.95,500000,1,6.711082292516508
0.95,500000,1,6.314507191922905
0.95,500000,1,6.523380979462282
0.95,500000,1,6.368300126775788
0.95,500000,1,6.7007828747865394
0.95,500000,1,6.668629754174471
0.95,500000,1,6.826111933444736
0.95,500000,1,6.602781753999325
0.95,500000,1,6.67724532707119
0.95,500000,1,6.636995362318494
0.95,500000,1,6.532676718127855
0.95,500000,1,6.342309056946627
0.95,500000,1,6.662836851708729
0.95,500000,1,7.2332166939059555
0.95,500000,1,6.716007035087601
0.95,500000,1,6.695052074543272
0.95,500000,1,6.908207199182845
0.95,500000,1,6.370387703251168
0.95,500000,1,6.73866798506327
0.95,500000,1,6.45512090720274
0.95,500000,1,6.733964167230004
0.95,500000,1,6.897755924227802
0.95,500000,1,6.794883909446636
0.95,500000,1,6.758920547691516
0.95,500000,1,6.571388972867859
0.95,500000,1,6.294529390083088
0.95,500000,1,6.1782053786003885
0.95,500000,1,6.1555778016370795
0.95,500000,1,6.4108755943442635
0.95,500000,1,7.102102897510883
0.95,500000,1,6.492245777280124
0.95,500000,1,6.198700814148189
0.95,500000,1,6.266948387141868
0.95,500000,1,6.3112947989205415
0.95,500000,1,6.187234594251538
0.95,500000,1,6.815315953343223
0.95,500000,1,6.384550787418496
0.95,500000,1,6.626975728713111
0.95,500000,1,6.672818548367139
0.95,500000,1,6.910178076581426
0.95,500000,1,6.494253239436637
0.95,500000,1,6.839557098400351
0.95,500000,1,6.304336484287083
0.95,500000,1,6.449312413092517
0.95,500000,1,6.704531039907856
0.95,500000,1,6.884381553518608
0.95,500000,1,7.08893448248558
0.95,500000,1,6.183974921596977
0.95,500000,1,6.4487183055492965
0.95,500000,1,6.494188369655243
0.95,500000,1,6.178672634977263
0.95,500000,1,6.516732128899872
0.95,500000,1,6.397724671341288
0.95,500000,1,6.693203247106295
0.95,500000,1,6.664635165551357
0.95,500000,1,6.84748155276512
0.95,500000,1,7.033446666927238
0.95,500000,1,6.604421783241335
0.95,500000,1,6.607932814451529
0.95,500000,1,6.8529255766221295
0.95,500000,1,6.485534464369675
0.95,500000,1,6.2121897106254655
0.95,500000,1,6.472296586810969
0.95,500000,1,6.455114960542478
0.95,500000,1,6.592556453974841
0.95,500000,1,6.323989154423675
0.95,500000,1,6.228290459676035
0.95,500000,1,6.43359951762719
0.95,500000,1,7.151984850470857
0.95,500000,1,6.599323910747035
0.95,500000,1,6.711064896100531
0.95,500000,1,6.336458202104165
0.95,500000,1,6.732145736481587
0.95,500000,1,6.367067179844706
0.95,500000,1,6.383346591528638
0.95,500000,1,6.517729919756343
0.95,500000,1,6.360106300384522
0.95,500000,1,6.291320788130538
0.95,500000,1,6.31378248463556
0.95,500000,1,6.801794753893342
0.95,500000,1,6.611063008828227
0.95,500000,1,6.37376969038092
0.95,500000,1,6.547802593185952
0.95,500000,1,6.508694760469414
0.95,500000,1,6.7610487172300555
0.95,500000,1,6.42909666165739
0.95,500000,1,6.6702087530061105
0.95,500000,1,6.851516451921655
0.95,500000,1,6.691884323001683
