sim,rho,customer_no,servers,mean_waiting_time
0,0.95,250000,1,22.031220220345055
0,0.95,250000,1,23.43492563275187
0,0.95,250000,1,21.854392362307834
0,0.95,250000,1,24.637856585847057
0,0.95,250000,1,23.021121880104307
0,0.95,250000,1,22.746511065931042
0,0.95,250000,1,21.735844244386374
0,0.95,250000,1,22.250400454358342
0,0.95,250000,1,24.745217161791135
0,0.95,250000,1,23.070305840273097
0,0.95,250000,1,27.21898843681239
0,0.95,250000,1,26.940447809995415
0,0.95,250000,1,20.46117857877892
0,0.95,250000,1,21.172277700657585
0,0.95,250000,1,22.034862357007814
0,0.95,250000,1,22.138178821182482
0,0.95,250000,1,24.105358177135013
0,0.95,250000,1,24.09173577585972
0,0.95,250000,1,21.882422915569638
0,0.95,250000,1,22.575696047730553
0,0.95,250000,1,22.276752806398235
0,0.95,250000,1,26.213381950152776
0,0.95,250000,1,27.64535841263997
0,0.95,250000,1,25.187208100360344
0,0.95,250000,1,21.38913133669634
0,0.95,250000,1,21.251376547585988
0,0.95,250000,1,25.058122766436092
0,0.95,250000,1,30.88640321663595
0,0.95,250000,1,24.591427012417043
0,0.95,250000,1,23.23888816883315
0,0.95,250000,1,22.860810936906752
0,0.95,250000,1,24.488996634519662
0,0.95,250000,1,22.6144539876728
0,0.95,250000,1,25.154658077773057
0,0.95,250000,1,22.44120511391529
0,0.95,250000,1,22.575633404877056
0,0.95,250000,1,22.90935018184974
0,0.95,250000,1,22.02780986244844
0,0.95,250000,1,25.21897370149082
0,0.95,250000,1,24.551950252289497
0,0.95,250000,1,27.61014678115722
0,0.95,250000,1,21.236954162552518
0,0.95,250000,1,22.165629882648673
0,0.95,250000,1,21.592101658193148
0,0.95,250000,1,24.23404949779901
0,0.95,250000,1,21.513368088539814
0,0.95,250000,1,24.8901538164172
0,0.95,250000,1,22.808562278970584
0,0.95,250000,1,22.3539299308405
0,0.95,250000,1,27.811911501346724
