sim,rho,customer_no,servers,mean_waiting_time
0,0.95,100,1,3.9296861396716496
0,0.95,100,1,3.026820570835984
0,0.95,100,1,5.1591076713087975
0,0.95,100,1,7.369322915932562
0,0.95,100,1,10.917495815259299
0,0.95,100,1,16.498768129497236
0,0.95,100,1,6.208090468931482
0,0.95,100,1,11.004793836255894
0,0.95,100,1,22.151711099250274
0,0.95,100,1,3.7558320261895504
0,0.95,100,1,2.947161178163078
0,0.95,100,1,6.676720868295018
0,0.95,100,1,4.84617671009814
0,0.95,100,1,5.492187272368795
0,0.95,100,1,2.9805587314542485
0,0.95,100,1,3.5806337539442428
0,0.95,100,1,2.306003967314568
0,0.95,100,1,9.415605664686082
0,0.95,100,1,6.05568018454442
0,0.95,100,1,2.618544780798956
0,0.95,100,1,3.0263965345610173
0,0.95,100,1,4.428565290522897
0,0.95,100,1,1.7325146429041127
0,0.95,100,1,5.299358890448443
0,0.95,100,1,8.261040619283655
0,0.95,100,1,7.482370948514719
0,0.95,100,1,4.673038732366855
0,0.95,100,1,2.768044844508264
0,0.95,100,1,2.4022443714118897
0,0.95,100,1,6.93110479046842
0,0.95,100,1,5.142020039651738
0,0.95,100,1,4.816456141495394
0,0.95,100,1,4.018046485087172
0,0.95,100,1,3.0627105031365613
0,0.95,100,1,2.1077186496840405
0,0.95,100,1,2.9174910148877586
0,0.95,100,1,4.981194804499358
0,0.95,100,1,5.551077670754717
0,0.95,100,1,1.3568193406163866
0,0.95,100,1,9.251964890343537
0,0.95,100,1,3.8462870921377568
0,0.95,100,1,6.1779482895603905
0,0.95,100,1,4.241708186320276
0,0.95,100,1,4.016978463158104
0,0.95,100,1,16.157260881289808
0,0.95,100,1,11.977893686117884
0,0.95,100,1,5.790821968262029
0,0.95,100,1,3.7241737250047207
0,0.95,100,1,1.4038635602473228
0,0.95,100,1,4.0759746748567895
0,0.95,500,1,4.962149089106533
0,0.95,500,1,24.778321156751073
0,0.95,500,1,4.565577073974443
0,0.95,500,1,9.589885349485789
0,0.95,500,1,5.626691370074567
0,0.95,500,1,21.957535791100828
0,0.95,500,1,8.03176192799379
0,0.95,500,1,8.928109727400926
0,0.95,500,1,15.154966840240686
0,0.95,500,1,6.969190659536469
0,0.95,500,1,4.364619821969521
0,0.95,500,1,7.913336832001747
0,0.95,500,1,4.601866531289447
0,0.95,500,1,22.900066404303338
0,0.95,500,1,5.133443362942903
0,0.95,500,1,5.867506143602946
0,0.95,500,1,12.573254395635287
0,0.95,500,1,10.993452532149094
0,0.95,500,1,8.983231573305623
0,0.95,500,1,4.019220055759375
0,0.95,500,1,23.808933280655264
0,0.95,500,1,7.115244188322193
0,0.95,500,1,11.356499521566995
0,0.95,500,1,10.31676893689601
0,0.95,500,1,8.050728615145262
0,0.95,500,1,6.084208229449634
0,0.95,500,1,26.125348928457342
0,0.95,500,1,6.577852534419406
0,0.95,500,1,30.094384997712826
0,0.95,500,1,12.969752573185604
0,0.95,500,1,8.106275626381544
0,0.95,500,1,15.827911716586266
0,0.95,500,1,14.218796469499196
0,0.95,500,1,15.85042393557309
0,0.95,500,1,23.32722485034743
0,0.95,500,1,5.822403027386625
0,0.95,500,1,8.791816642170721
0,0.95,500,1,16.421200240841078
0,0.95,500,1,8.614540601961743
0,0.95,500,1,19.41560077016862
