rho,customer_no,servers,mean_waiting_time
0.9,500000,1,11.247315071409016
0.9,500000,1,11.028215931539508
0.9,500000,1,11.525378882231438
0.9,500000,1,11.255112196876887
0.9,500000,1,11.001600737161809
0.9,500000,1,11.407040759619099
0.9,500000,1,11.619118510199783
0.9,500000,1,11.134397982789515
0.9,500000,1,11.360761373276913
0.9,500000,1,11.512921704742226
0.9,500000,1,11.17770238061417
0.9,500000,1,11.58832707670682
0.9,500000,1,11.219666220284335
0.9,500000,1,11.263363017285482
0.9,500000,1,11.184149643182987
0.9,500000,1,11.399800936790342
0.9,500000,1,11.412292776708385
0.9,500000,1,11.09299566950721
0.9,500000,1,11.837948308280831
0.9,500000,1,11.221392452758517
0.9,500000,1,11.388821422649748
0.9,500000,1,11.431114716858353
0.9,500000,1,10.949841753400246
0.9,500000,1,11.965187586208454
0.9,500000,1,10.984642551083212
0.9,500000,1,11.405594353716632
0.9,500000,1,11.28134592365965
0.9,500000,1,10.862147530325897
0.9,500000,1,12.279316045371722
0.9,500000,1,10.9785214857747
0.9,500000,1,11.085095047143708
0.9,500000,1,11.408832332170567
0.9,500000,1,11.211127467937915
0.9,500000,1,11.123043810251701
0.9,500000,1,11.104667807004377
0.9,500000,1,11.01326738174084
0.9,500000,1,11.826465930293397
0.9,500000,1,11.418954796525952
0.9,500000,1,11.647426207775403
0.9,500000,1,11.104145485882059
0.9,500000,1,11.425955031431455
0.9,500000,1,11.988944597403965
0.9,500000,1,10.774975160096876
0.9,500000,1,11.06670713583374
0.9,500000,1,11.52932696429644
0.9,500000,1,11.676883281580784
0.9,500000,1,10.878504961961038
0.9,500000,1,11.22642741500458
0.9,500000,1,11.658125025171913
0.9,500000,1,11.285655981196864
0.9,500000,1,11.552617827227516
0.9,500000,1,11.960171805284366
0.9,500000,1,11.082691910273489
0.9,500000,1,11.608317227587614
0.9,500000,1,11.191328809045272
0.9,500000,1,11.384067164635193
0.9,500000,1,11.274784901155357
0.9,500000,1,11.166706481755494
0.9,500000,1,10.920320550610583
0.9,500000,1,10.588678762984781
0.9,500000,1,11.435404202499113
0.9,500000,1,11.10305727371307
0.9,500000,1,11.236648017679157
0.9,500000,1,11.490575428840389
0.9,500000,1,11.529762527358473
0.9,500000,1,11.090167339707783
0.9,500000,1,10.895689605448627
0.9,500000,1,11.127671083403285
0.9,500000,1,10.74770923712007
0.9,500000,1,11.236607305754543
0.9,500000,1,10.971956242506769
0.9,500000,1,11.51852028109563
0.9,500000,1,10.692235657852805
0.9,500000,1,10.816087706262001
0.9,500000,1,11.410154205264881
0.9,500000,1,11.781836671691782
0.9,500000,1,11.301228372765491
0.9,500000,1,11.56854687901509
0.9,500000,1,10.78656642689906
0.9,500000,1,11.356223422024701
0.9,500000,1,12.029804470532666
0.9,500000,1,11.611726304059545
0.9,500000,1,11.650020768445145
0.9,500000,1,11.141952107423025
0.9,500000,1,11.118521807484258
0.9,500000,1,11.478886242539621
0.9,500000,1,10.903495535330363
0.9,500000,1,11.514296042617124
0.9,500000,1,12.184213143323046
0.9,500000,1,11.321810467254645
0.9,500000,1,10.604212125400691
0.9,500000,1,11.25976495204361
0.9,500000,1,11.431610757617824
0.9,500000,1,10.877319409598474
0.9,500000,1,11.68883659399391
0.9,500000,1,11.443364146916874
0.9,500000,1,11.181407127454243
0.9,500000,1,10.859969117432357
0.9,500000,1,10.86267414122682
0.9,500000,1,11.813526512783497
