,sim,i,s,area,time
0,0,2582,49,1.346938775510204,0.005797531999974126
1,0,2582,64,1.65,0.009858885999989297
2,0,2582,81,1.385185185185185,0.009847635000056698
3,0,2582,100,1.716,0.011817381999946974
4,0,2582,121,1.6363636363636362,0.014233558000029234
5,0,2582,144,1.65,0.01671226499999534
6,0,2582,169,1.5621301775147927,0.018622292000173957
7,0,2582,196,1.5489795918367346,0.023603024000038886
8,0,2582,225,1.5546666666666664,0.024179314000093655
9,0,2582,256,1.5984375,0.027773528000324177
10,0,2582,289,1.415916955017301,0.02821192699968833
11,0,2582,324,1.5277777777777777,0.03486875700016867
12,0,2582,361,1.499168975069252,0.03701458299977389
13,0,2582,400,1.5675,0.04339189500035445
14,0,2582,441,1.4666666666666666,0.04586936000004016
15,0,2582,484,1.459090909090909,0.03783030800016718
16,0,2582,529,1.497164461247637,0.05501547499983417
17,0,2582,576,1.478125,0.05886767700008022
18,0,2582,625,1.5100799999999999,0.06578225199976373
19,0,2582,676,1.5133136094674555,0.08195531100020048
20,0,2582,729,1.4576131687242797,0.07448658799981445
21,0,2582,784,1.464795918367347,0.07964958399992383
22,0,2582,841,1.5146254458977406,0.08863705000041477
23,0,2582,900,1.5033333333333332,0.09380922199991915
24,0,2582,961,1.5109261186264307,0.10059027500017237
25,0,2582,1024,1.5146484375,0.10368998800063878
26,0,2582,1089,1.521212121212121,0.11035077600004684
27,0,2582,1156,1.5472318339100346,0.1284590019997438
28,0,2582,1225,1.4977959183673468,0.1271174060000817
29,0,2582,1296,1.4921296296296296,0.13841137599999342
30,0,2582,1369,1.4945215485756025,0.11812997500018696
31,0,2582,1444,1.5083102493074791,0.14880669200027796
32,0,2582,1521,1.5447731755424061,0.16050802200015823
33,0,2582,1600,1.4726249999999999,0.11664508800069484
34,0,2582,1681,1.4998215348007138,0.1729557760002649
35,0,2582,1764,1.5040816326530613,0.18151393900041057
36,0,2582,1849,1.4849107625743645,0.1359984680005084
37,0,2582,1936,1.5272727272727273,0.1875424250004869
38,0,2582,2025,1.4959999999999998,0.1537562339983083
39,0,2582,2116,1.4909262759924384,0.22057367900066538
40,0,2582,2209,1.50285196921684,0.2281653340013463
41,0,2582,2304,1.52109375,0.17223687599800996
42,0,2582,2401,1.4898792169929196,0.2552669690014113
43,0,2582,2500,1.50216,0.2601026609997348
44,0,2582,2601,1.5123414071510957,0.24096778999921753
45,0,2582,2704,1.5157544378698224,0.2813978459997202
46,0,2582,2809,1.51313634745461,0.2915612550000901
47,0,2582,2916,1.5164609053497942,0.31090821999873697
0,1,2582,49,1.077551020408163,0.0027274290000605106
1,1,2582,64,1.2374999999999998,0.003942128999938177
2,1,2582,81,1.4666666666666666,0.006065846999433688
3,1,2582,100,1.254,0.006319318000009844
4,1,2582,121,1.5818181818181818,0.00963757700003498
5,1,2582,144,1.5125,0.014507985000193457
6,1,2582,169,1.4840236686390533,0.01782326299991155
7,1,2582,196,1.5489795918367346,0.027286188999823935
8,1,2582,225,1.4666666666666666,0.02312820100053159
9,1,2582,256,1.546875,0.027748459000520143
10,1,2582,289,1.5072664359861592,0.029496788999722412
11,1,2582,324,1.548148148148148,0.03784316599995918
12,1,2582,361,1.4443213296398891,0.03573654599966858
13,1,2582,400,1.518,0.042810084999985065
14,1,2582,441,1.4666666666666666,0.04479462600028228
15,1,2582,484,1.4999999999999998,0.049404288999483015
16,1,2582,529,1.4846880907372402,0.05358697300016502
17,1,2582,576,1.5239583333333333,0.06067541000112442
18,1,2582,625,1.5206399999999998,0.046565615999895726
19,1,2582,676,1.4937869822485206,0.0728229549996513
20,1,2582,729,1.4395061728395062,0.07211761199960165
21,1,2582,784,1.464795918367347,0.05587165900021773
22,1,2582,841,1.5381688466111771,0.08759208199995783
23,1,2582,900,1.518,0.0660881859992628
24,1,2582,961,1.5177939646201872,0.09805207800161497
25,1,2582,1024,1.5082031249999999,0.10265818999977228
26,1,2582,1089,1.5393939393939393,0.11245474399942168
27,1,2582,1156,1.5472318339100346,0.12091573200058292
28,1,2582,1225,1.5139591836734694,0.12749288399982106
29,1,2582,1296,1.4819444444444443,0.1348493480001025
30,1,2582,1369,1.518626734842951,0.10087219399923697
31,1,2582,1444,1.5220221606648199,0.147694066000156
32,1,2582,1521,1.4883629191321497,0.15295687499929045
33,1,2582,1600,1.538625,0.12817699099969104
34,1,2582,1681,1.5233789411064842,0.12470362899966858
35,1,2582,1764,1.5040816326530613,0.176664510999899
36,1,2582,1849,1.5098972417522984,0.187408017998564
37,1,2582,1936,1.5272727272727273,0.19708002599747942
38,1,2582,2025,1.5122962962962962,0.2106527479986653
39,1,2582,2116,1.4846880907372402,0.21312584800159584
40,1,2582,2209,1.4938886373924851,0.22709513900372258
41,1,2582,2304,1.5096354166666666,0.2386874780022481
42,1,2582,2401,1.509121199500208,0.25033376199769464
43,1,2582,2500,1.5312,0.2596769869973059
44,1,2582,2601,1.4895040369088812,0.20339441099667965
45,1,2582,2704,1.5133136094674555,0.19789054800014583
46,1,2582,2809,1.4943396226415093,0.2830472569991116
47,1,2582,2916,1.5074074074074073,0.26423323099572826
0,2,2582,49,1.346938775510204,0.005254687999695307
1,2,2582,64,1.7531249999999998,0.007888457999683851
2,2,2582,81,1.385185185185185,0.008249476999935723
3,2,2582,100,1.452,0.0121893669995643
4,2,2582,121,1.5272727272727273,0.012809037000238277
5,2,2582,144,1.6041666666666665,0.016201755000224694
6,2,2582,169,1.4840236686390533,0.01710902600063946
7,2,2582,196,1.5153061224489794,0.02316398399989339
8,2,2582,225,1.4373333333333331,0.022260534001134147
9,2,2582,256,1.5984375,0.028489542999977857
10,2,2582,289,1.6671280276816607,0.032810611999593675
11,2,2582,324,1.4259259259259258,0.03239065099865002
12,2,2582,361,1.499168975069252,0.03751697000120657
13,2,2582,400,1.452,0.03975837000143656
14,2,2582,441,1.5564625850340135,0.0478738300008672
15,2,2582,484,1.4999999999999998,0.05095526300101483
16,2,2582,529,1.497164461247637,0.05499154000153794
17,2,2582,576,1.5010416666666666,0.06030883800065112
18,2,2582,625,1.49952,0.0641683739987684
19,2,2582,676,1.4937869822485206,0.05022097100140854
20,2,2582,729,1.4938271604938271,0.07534406100296565
21,2,2582,784,1.5068877551020408,0.08197078800219515
22,2,2582,841,1.5224732461355528,0.06276106899872502
23,2,2582,900,1.54,0.09790943400105334
24,2,2582,961,1.4971904266389178,0.07046180500140053
25,2,2582,1024,1.5082031249999999,0.11061245200028225
26,2,2582,1089,1.490909090909091,0.11364281800058507
27,2,2582,1156,1.5015570934256053,0.1179372579996425
28,2,2582,1225,1.524734693877551,0.12832609599877287
29,2,2582,1296,1.4972222222222222,0.1375093779989811
30,2,2582,1369,1.5089846603360115,0.14135044099657534
31,2,2582,1444,1.5128808864265928,0.10809500099844627
32,2,2582,1521,1.5187376725838264,0.15970374700418688
33,2,2582,1600,1.5015,0.1660867689981842
34,2,2582,1681,1.5273051754907792,0.17379440100216925
35,2,2582,1764,1.5040816326530613,0.1820572380008798
36,2,2582,1849,1.5098972417522984,0.13461895100215315
37,2,2582,1936,1.4999999999999998,0.19871315800253342
38,2,2582,2025,1.509037037037037,0.2078988760017637
39,2,2582,2116,1.4690926275992437,0.21178265899936832
40,2,2582,2209,1.52675418741512,0.22995726900308
41,2,2582,2304,1.5239583333333333,0.2477713059990947
42,2,2582,2401,1.5118700541441064,0.24910010299834084
43,2,2582,2500,1.50744,0.26058600499982276
44,2,2582,2601,1.514878892733564,0.2767955860023221
45,2,2582,2704,1.520636094674556,0.21475567999686973
46,2,2582,2809,1.5389818440726235,0.2825872419928146
47,2,2582,2916,1.5119341563786006,0.2841901179958768
0,3,2582,49,1.4816326530612245,0.00563854800043373
1,3,2582,64,1.7531249999999998,0.007892907999121235
2,3,2582,81,1.4666666666666666,0.009081646999675286
3,3,2582,100,1.65,0.012155325997582622
4,3,2582,121,1.5272727272727273,0.012571556001375939
5,3,2582,144,1.4666666666666666,0.014578894999658587
6,3,2582,169,1.6402366863905324,0.01888728399944739
7,3,2582,196,1.683673469387755,0.0225946920008937
8,3,2582,225,1.6426666666666665,0.025226292000525063
9,3,2582,256,1.5984375,0.02800628100067115
10,3,2582,289,1.3930795847750863,0.033779624998487634
11,3,2582,324,1.5277777777777777,0.02446094999845627
12,3,2582,361,1.499168975069252,0.026916895002159436
13,3,2582,400,1.518,0.043032127000515175
14,3,2582,441,1.4965986394557822,0.04465475399638308
15,3,2582,484,1.5272727272727273,0.04935115799776213
