,sim,i,s,area,time
0,0,2582,49,1.7510204081632654,0.006500641000002361
1,0,2582,64,1.2374999999999998,0.0061300309998273406
2,0,2582,81,1.6296296296296295,0.010291842000242468
3,0,2582,100,1.452,0.010254171999861228
4,0,2582,121,1.5818181818181818,0.013994462999789903
5,0,2582,144,1.4666666666666666,0.0186722030001647
6,0,2582,169,1.5621301775147927,0.018214253000053304
7,0,2582,196,1.5153061224489794,0.02292035500045131
8,0,2582,225,1.7013333333333331,0.026697376000015538
9,0,2582,256,1.41796875,0.025411554999436703
10,0,2582,289,1.5301038062283736,0.03854725800056258
11,0,2582,324,1.548148148148148,0.03501155799995104
12,0,2582,361,1.4443213296398891,0.036132227999758015
13,0,2582,400,1.4849999999999999,0.04075586799962139
14,0,2582,441,1.4517006802721089,0.043157438999060105
15,0,2582,484,1.459090909090909,0.0496145930008538
16,0,2582,529,1.497164461247637,0.05710470199954898
17,0,2582,576,1.4666666666666666,0.06442545399937671
18,0,2582,625,1.4889599999999998,0.06541735800033166
19,0,2582,676,1.4742603550295856,0.07043878699982997
20,0,2582,729,1.4847736625514403,0.07721713800077623
21,0,2582,784,1.4900510204081632,0.08212752599916939
22,0,2582,841,1.546016646848989,0.08784014700052012
23,0,2582,900,1.5326666666666666,0.0925664840009972
24,0,2582,961,1.5109261186264307,0.10864931300176295
25,0,2582,1024,1.5275390624999998,0.1082089210000845
26,0,2582,1089,1.5151515151515151,0.11676699600002394
27,0,2582,1156,1.4958477508650518,0.12151356800012536
28,0,2582,1225,1.4762448979591836,0.12739319100001012
29,0,2582,1296,1.4921296296296296,0.13282350600042037
30,0,2582,1369,1.504163623082542,0.1500248649997502
31,0,2582,1444,1.5265927977839335,0.1469773360003046
32,0,2582,1521,1.523076923076923,0.16096283899884156
33,0,2582,1600,1.522125,0.18303419799923404
34,0,2582,1681,1.4919690660321236,0.17350028300120357
35,0,2582,1764,1.4965986394557822,0.191882994999105
36,0,2582,1849,1.5098972417522984,0.20085641399612086
37,0,2582,1936,1.5374999999999999,0.1969617749940653
38,0,2582,2025,1.5416296296296297,0.21107443199946374
39,0,2582,2116,1.522117202268431,0.21546704099978342
40,0,2582,2209,1.523766410140335,0.2366197069992495
41,0,2582,2304,1.5096354166666666,0.24362481200455477
42,0,2582,2401,1.5036234902124115,0.25762683300092704
43,0,2582,2500,1.50216,0.2653709540034015
44,0,2582,2601,1.5072664359861592,0.2702731640016509
45,0,2582,2704,1.503550295857988,0.31057702600264747
46,0,2582,2809,1.5107867568529725,0.29313718000321387
47,0,2582,2916,1.509670781893004,0.32371270000123786
0,1,2582,49,1.6163265306122447,0.0061751299999741605
1,1,2582,64,1.4437499999999999,0.006738799000117979
2,1,2582,81,1.222222222222222,0.007371030000854262
3,1,2582,100,1.32,0.009898370000314571
4,1,2582,121,1.5818181818181818,0.013126900000429487
5,1,2582,144,1.5125,0.015214550000223426
6,1,2582,169,1.3668639053254437,0.01650595900139251
7,1,2582,196,1.4816326530612245,0.023863698999775806
8,1,2582,225,1.4373333333333331,0.025156118999916544
9,1,2582,256,1.4437499999999999,0.024562349000916583
10,1,2582,289,1.5072664359861592,0.030694239000695234
11,1,2582,324,1.5685185185185184,0.034619698998540116
12,1,2582,361,1.5357340720221606,0.03906814799881886
13,1,2582,400,1.5015,0.041688756999405996
14,1,2582,441,1.5115646258503401,0.0493322470010753
15,1,2582,484,1.5272727272727273,0.05057207800166452
16,1,2582,529,1.472211720226843,0.052991217001931545
17,1,2582,576,1.5125,0.05984812499991676
18,1,2582,625,1.5206399999999998,0.0668378790018096
19,1,2582,676,1.5523668639053254,0.07153397200170275
20,1,2582,729,1.5209876543209877,0.07552495200025078
21,1,2582,784,1.532142857142857,0.08586320800009162
22,1,2582,841,1.4989298454221165,0.0855509350005832
23,1,2582,900,1.5033333333333332,0.0924338550015591
24,1,2582,961,1.5452653485952133,0.10163011400004507
25,1,2582,1024,1.4759765624999999,0.10322662700173169
26,1,2582,1089,1.509090909090909,0.11717607800312635
27,1,2582,1156,1.4901384083044982,0.12095418799970048
28,1,2582,1225,1.5193469387755103,0.12652220100130762
29,1,2582,1296,1.5175925925925924,0.13268681800309423
30,1,2582,1369,1.518626734842951,0.14319344800071576
31,1,2582,1444,1.5083102493074791,0.1475818819998267
32,1,2582,1521,1.4796844181459565,0.15252704699685182
33,1,2582,1600,1.4891249999999998,0.16257489000099667
34,1,2582,1681,1.511600237953599,0.17415858900005787
35,1,2582,1764,1.5115646258503401,0.18244823100110352
36,1,2582,1849,1.50275824770146,0.19021282299945597
37,1,2582,1936,1.503409090909091,0.20268282300150986
38,1,2582,2025,1.4699259259259259,0.2023001740036534
39,1,2582,2116,1.4878071833648392,0.21614281500023935
40,1,2582,2209,1.5416930737890446,0.23484087899532824
41,1,2582,2304,1.5010416666666666,0.237848686997836
42,1,2582,2401,1.5118700541441064,0.25529101900383466
43,1,2582,2500,1.5153599999999998,0.26180286899955263
44,1,2582,2601,1.4945790080738177,0.2735142170020026
45,1,2582,2704,1.503550295857988,0.2779940120011588
46,1,2582,2809,1.4966892132431469,0.2912757120044489
47,1,2582,2916,1.4960905349794238,0.2993890740110601
0,2,2582,49,1.8857142857142855,0.006790701000909394
1,2,2582,64,1.546875,0.007555870999112813
2,2,2582,81,1.548148148148148,0.00953228099979242
3,2,2582,100,1.452,0.010227020999536762
4,2,2582,121,1.4727272727272727,0.012513630000057674
5,2,2582,144,1.5125,0.015183031001015479
6,2,2582,169,1.523076923076923,0.01756096999838519
7,2,2582,196,1.5153061224489794,0.020485271003281014
8,2,2582,225,1.5839999999999999,0.024266981997470793
9,2,2582,256,1.52109375,0.027818953999030782
10,2,2582,289,1.4844290657439445,0.03216003299962722
11,2,2582,324,1.4462962962962962,0.03242236300093282
12,2,2582,361,1.5357340720221606,0.03876707599988549
13,2,2582,400,1.518,0.04141875200184586
14,2,2582,441,1.4666666666666666,0.04608258800067233
15,2,2582,484,1.4454545454545453,0.04980624900076691
16,2,2582,529,1.522117202268431,0.05625485099926664
17,2,2582,576,1.5583333333333331,0.06308227300155522
18,2,2582,625,1.45728,0.06342097999777252
19,2,2582,676,1.4840236686390533,0.06761874499989062
20,2,2582,729,1.5209876543209877,0.07750684299844579
21,2,2582,784,1.5405612244897957,0.08544486399955531
22,2,2582,841,1.5146254458977406,0.08572650799851544
23,2,2582,900,1.5473333333333332,0.09755249699765045
24,2,2582,961,1.5040582726326743,0.10030540500497409
25,2,2582,1024,1.52109375,0.10863322700492972
26,2,2582,1089,1.4848484848484846,0.10920420700313116
27,2,2582,1156,1.5072664359861592,0.1160900860043057
28,2,2582,1225,1.492408163265306,0.1274837339935857
29,2,2582,1296,1.5125,0.13505107699825203
30,2,2582,1369,1.504163623082542,0.14167055699294906
31,2,2582,1444,1.5037396121883655,0.14849155400224845
32,2,2582,1521,1.4840236686390533,0.15506370499997502
33,2,2582,1600,1.50975,0.17694535499799713
34,2,2582,1681,1.511600237953599,0.1739133240089359
35,2,2582,1764,1.545238095238095,0.18529740900248726
36,2,2582,1849,1.5063277447268792,0.1860587690007378
37,2,2582,1936,1.4999999999999998,0.209546927993415
38,2,2582,2025,1.522074074074074,0.21154453999952239
39,2,2582,2116,1.5377126654064273,0.22238461200095117
40,2,2582,2209,1.4938886373924851,0.23147813600098743
41,2,2582,2304,1.4981770833333334,0.23335342299583317
42,2,2582,2401,1.5118700541441064,0.2487763210031062
43,2,2582,2500,1.5206399999999998,0.2553877150014614
44,2,2582,2601,1.5199538638985006,0.27244845600262124
45,2,2582,2704,1.505991124260355,0.2721754150061315
46,2,2582,2809,1.5225347098611606,0.2956813470027555
47,2,2582,2916,1.5232510288065841,0.3057697009946878
0,3,2582,49,1.6163265306122447,0.006026140000585656
1,3,2582,64,1.7531249999999998,0.008315335000361301
2,3,2582,81,1.6296296296296295,0.009366307001755558
3,3,2582,100,1.452,0.010250244999951974
4,3,2582,121,1.5272727272727273,0.017172948000961696
5,3,2582,144,1.5125,0.014982168000869933
6,3,2582,169,1.523076923076923,0.017951576001223657
7,3,2582,196,1.4816326530612245,0.02186305100167374
8,3,2582,225,1.5546666666666664,0.02410116999976708
9,3,2582,256,1.52109375,0.028462215001809454
10,3,2582,289,1.5072664359861592,0.029489890999002455
11,3,2582,324,1.5074074074074073,0.03487112599964348
12,3,2582,361,1.5174515235457062,0.0382467840015579
13,3,2582,400,1.5345,0.043205706997696325
14,3,2582,441,1.5714285714285712,0.04765169199913544
15,3,2582,484,1.5681818181818181,0.05824116299959314
16,3,2582,529,1.5844990548204156,0.05911355799753437
17,3,2582,576,1.5239583333333333,0.06115903300155878
18,3,2582,625,1.5312,0.07087928399801058
19,3,2582,676,1.4937869822485206,0.067908764001686
20,3,2582,729,1.557201646090535,0.0779272379984377
21,3,2582,784,1.5068877551020408,0.08598888000256011
22,3,2582,841,1.5224732461355528,0.08493287100259295
23,3,2582,900,1.5106666666666666,0.09327690599798188
24,3,2582,961,1.5040582726326743,0.09942848400032744
25,3,2582,1024,1.4888671875,0.10436228499656863
26,3,2582,1089,1.4848484848484846,0.11194800600105737
27,3,2582,1156,1.5072664359861592,0.11940789800087259
28,3,2582,1225,1.4816326530612245,0.1250119570015613
29,3,2582,1296,1.5023148148148149,0.13355290199729097
30,3,2582,1369,1.53308984660336,0.14110047599797326
31,3,2582,1444,1.5128808864265928,0.14550177799401354
32,3,2582,1521,1.523076923076923,0.15418892900447645
33,3,2582,1600,1.505625,0.16065712899603568
34,3,2582,1681,1.5273051754907792,0.17517834000636867
35,3,2582,1764,1.5265306122448978,0.19010737299959146
36,3,2582,1849,1.4920497566252027,0.18927008100536113
37,3,2582,1936,1.530681818181818,0.20077295799842432
38,3,2582,2025,1.5155555555555555,0.20418581100057054
39,3,2582,2116,1.5189981096408318,0.22883595100915954
40,3,2582,2209,1.52077863286555,0.2249808929966548
41,3,2582,2304,1.5096354166666666,0.2388688539940631
42,3,2582,2401,1.5256143273635985,0.25684781699601444
43,3,2582,2500,1.5153599999999998,0.2592207279917602
44,3,2582,2601,1.5021914648212225,0.2688815919964327
45,3,2582,2704,1.520636094674556,0.27860164100343354
46,3,2582,2809,1.5107867568529725,0.29245140100897515
47,3,2582,2916,1.509670781893004,0.2947505960014496
0,4,2582,49,1.4816326530612245,0.005663669999648846
1,4,2582,64,1.65,0.007733919999736827
2,4,2582,81,1.548148148148148,0.009567500001139706
3,4,2582,100,1.5839999999999999,0.011468470999489
4,4,2582,121,1.309090909090909,0.011738260000356604
5,4,2582,144,1.3291666666666666,0.013708859999042033
6,4,2582,169,1.327810650887574,0.015387021000833556
7,4,2582,196,1.4816326530612245,0.022995530998741742
8,4,2582,225,1.4959999999999998,0.022901931998603686
9,4,2582,256,1.3921875,0.024580991000675567
10,4,2582,289,1.5301038062283736,0.03184597200106509
11,4,2582,324,1.548148148148148,0.036947371997939626
12,4,2582,361,1.5357340720221606,0.03773471499880543
13,4,2582,400,1.5839999999999999,0.049338089999309886
14,4,2582,441,1.5265306122448978,0.048833189997822046
15,4,2582,484,1.4454545454545453,0.05167609000113771
16,4,2582,529,1.472211720226843,0.052320095997174576
17,4,2582,576,1.5354166666666667,0.06223225800476939
18,4,2582,625,1.4889599999999998,0.06474164200426458
19,4,2582,676,1.542603550295858,0.06975171999897611
20,4,2582,729,1.4847736625514403,0.0761130949949802
21,4,2582,784,1.5153061224489794,0.08337757500135012
22,4,2582,841,1.5067776456599287,0.08878243800108976
23,4,2582,900,1.5253333333333332,0.09267338599966024
24,4,2582,961,1.4765868886576483,0.1044760759982637
25,4,2582,1024,1.5275390624999998,0.10753277800108663
26,4,2582,1089,1.4848484848484846,0.10923753699876215
27,4,2582,1156,1.5243944636678202,0.12224210699719151
28,4,2582,1225,1.492408163265306,0.13332741699991857
29,4,2582,1296,1.4972222222222222,0.12927610899987485
30,4,2582,1369,1.5089846603360115,0.1381671570004528
31,4,2582,1444,1.540304709141274,0.14742702299827215
32,4,2582,1521,1.5057199211045365,0.16114231999404183
33,4,2582,1600,1.49325,0.16757817000143405
34,4,2582,1681,1.5194527067221892,0.17874730799985628
35,4,2582,1764,1.5265306122448978,0.18815065099806816
36,4,2582,1849,1.5098972417522984,0.19377894600415857
37,4,2582,1936,1.5238636363636362,0.20336020400100097
38,4,2582,2025,1.5155555555555555,0.2135879019983804
39,4,2582,2116,1.5096408317580339,0.22812266299797557
40,4,2582,2209,1.517790855590765,0.2319800699976895
41,4,2582,2304,1.5296875,0.2387419529957242
42,4,2582,2401,1.5118700541441064,0.24856171099327184
43,4,2582,2500,1.48632,0.252869065998766
44,4,2582,2601,1.504728950403691,0.2680511830010346
45,4,2582,2704,1.508431952662722,0.2728697049899438
46,4,2582,2809,1.520185119259523,0.29877888700889343
47,4,2582,2916,1.509670781893004,0.30057989299507426
0,5,2582,49,1.4816326530612245,0.005612450999706198
1,5,2582,64,1.546875,0.007072134000054575
2,5,2582,81,1.385185185185185,0.008533152999916638
3,5,2582,100,1.518,0.010981824999817036
4,5,2582,121,1.6909090909090907,0.014190175000976524
5,5,2582,144,1.5125,0.015570647000458848
6,5,2582,169,1.4449704142011834,0.0167821189991173
7,5,2582,196,1.5489795918367346,0.022319489000437898
8,5,2582,225,1.5253333333333332,0.023478863999116584
9,5,2582,256,1.4953124999999998,0.02597641299962561
10,5,2582,289,1.5072664359861592,0.02978548100008993
11,5,2582,324,1.4259259259259258,0.03253060199972424
